0, 47
1, 24
2, 14
3, 16
4, 10
5, 11
6, 3
7, 7
8, 2
9, 8
10, 8
11, 6
12, 4
13, 3
14, 5
15, 2
16, 5
17, 2
18, 4
19, 5
20, 3
21, 6
22, 3
23, 6
24, 6
25, 3
26, 5
27, 2
28, 4
29, 4
30, 3
31, 1
32, 2
33, 2
34, 1
36, 3
37, 1
39, 2
40, 2
41, 1
43, 1
44, 1
45, 1
47, 3
48, 1
51, 2
52, 2
53, 1
55, 1
56, 1
57, 1
58, 1
63, 1
66, 1
67, 2
69, 1
70, 1
71, 1
72, 3
74, 1
76, 1
78, 2
80, 1
83, 1
85, 1
93, 1
94, 1
103, 1
110, 1
114, 1
116, 1
126, 1
134, 1
136, 1
143, 1
146, 1
149, 2
150, 1
156, 1
162, 1
182, 2
184, 1
187, 1
188, 1
217, 1
219, 1
265, 1
282, 1
287, 1
295, 1
312, 1
327, 1
371, 1
612, 1
740, 1
1193, 1
1199, 1
avg, 36.2396
perc, 15.3261
